id,outputs
49e1da0d,"[""11.270293511753788"", ""3072.576698305534"", ""6573.334095807297"", ""1353.098799646145"", ""2906.651246544427""]"
b8b0d7de,"[null, null, null, null, null]"
5b92f8e4,"[""18.70161713794168"", ""27.088011281203254"", ""-26.66852401216552"", ""-7.907760445898468"", ""-13.082802237600585""]"
d989850c,"[""4.173445305710985"", ""5.992645353932584"", ""5.307440599788369"", ""4.968780839003459"", ""4.549634987777782""]"
27e021d0,"[""-29.0"", ""13.0"", ""-30.0"", ""-6.0"", ""31.0""]"
da1b8ba7,"[""1957.1401021199276"", ""2484.7837092505483"", ""98.83414417451611"", ""2105.121009648706"", ""104.29485375919154""]"
2b9e3c52,"[""3.5795254734516817"", ""2.9117916556243975"", ""3.539359074219603"", ""3.7385204954828715"", ""3.615499099795706""]"
4ff2b3ee,"[""1181630.5959476226"", ""2574.297579905728"", ""79093453.38318688"", ""-4914.167479107588"", ""-903.6714568226432""]"
95f11cb3,"[null, null, null, null, null]"
bdef6f0e,"[""-7171.0"", ""-7171.0"", ""-7171.0"", ""-7171.0"", ""-7171.0""]"
1b82b439,"[""2.0"", ""24.0"", ""1.0"", ""12.0"", ""-25.0""]"
948b0c1b,"[""20.910204709912037"", ""1918.8049119505833"", ""-357.2988497682018"", ""913.0521798519671"", ""-131.49396986014483""]"
aa170701,"[""764521.3796285046"", ""2576797.802550613"", ""4242834.806029878"", ""1363520.5276581983"", ""246383.95899999246""]"
5299b6ba,"[""-0.2127411051953465"", ""54997.639812273046"", ""-8.018055703541275"", ""69333.68924864009"", ""-22.266574849601817""]"
b00bfaaa,"[null, null, null, null, null]"
40b41f56,"[""0.7337644299542883"", ""0.4317970860358638"", ""0.39089311303448193"", ""0.5402779204018509"", ""0.2731464714491189""]"
535075d8,"[null, null, null, null, null]"
15902640,"[""15.142787361233438"", ""18.224307360247476"", ""16.38775075167949"", ""15.661599952685295"", ""15.93677369730545""]"
a7c97b52,"[""-150.0709466845765"", ""67270.59430250754"", ""96.73876729673825"", ""-68.29063204367192"", ""1855.8065183621575""]"
701474e5,"[null, null, null, null, null]"
de262a8c,"[""66.0"", ""50.0"", ""66.0"", ""34.0"", ""74.0""]"
cc887fee,"[""0.12196926686778697"", ""0.24560985124194823"", ""0.25534150132262856"", ""0.22369009190156808"", ""0.1393704324307894""]"
18590ae3,"[null, null, null, null, null]"
1e1db868,"[""13.826121949734084"", ""11.020560502355467"", ""2.6463279720915427"", ""11.061024766864609"", ""11.089034007324786""]"
80c8c528,"[null, null, null, null, null]"
8f01a138,"[""36.38966988360383"", ""37.71008752006976"", ""32.97919198673947"", ""38.811348398334395"", ""44.837282897071404""]"
0f82d638,"[""0.8316265711067293"", ""0.8309575627879807"", ""0.8333328954132799"", ""0.8276494382818325"", ""0.8326930493034063""]"
e5e41c66,"[null, null, null, null, null]"
ae4ca2e7,"[""72.21146838893571"", ""-30.507594437244215"", ""77.70788235480174"", ""-3.755270319225568"", ""-43.35952276783356""]"
b8a6ee83,"[""237.0"", ""-59.0"", ""-259.0"", ""-500.0"", ""-239.0""]"
8faa6abd,"[null, null, null, null, null]"
b1a36b3c,"[""4518.993282623877"", ""31.02995375800642"", ""324.50369564384016"", ""-1305.9924448168392"", ""0.5250773256864261""]"
ed86dc20,"[""107570.0"", ""107180.0"", ""107742.0"", ""107078.0"", ""107688.0""]"
e016aaf2,"[""983.0"", ""418.0"", ""527.0"", ""1063.0"", ""3375.0""]"
0d6554f3,"[null, null, null, null, null]"
e47aea02,"[null, null, null, null, null]"
8ecee654,"[null, null, null, null, null]"
d23d6137,"[null, null, null, null, null]"
63a78e7a,"[""18.321701908617474"", ""-2.6130390265282237"", ""20.774485078371768"", ""-5.590559289564915"", ""-2.302331871787432""]"
ebf1b25d,"[""15.176426217116148"", ""16.004643990054436"", ""17.711762407566752"", ""18.187254816684156"", ""16.24598080999124""]"
a6e75ea7,"[""0.2730499761274835"", ""0.30956559216553675"", ""0.27708757716742743"", ""0.29048170752125274"", ""0.280120838439201""]"
77ac80b8,"[""0.3128202619016581"", ""0.4451414876045538"", ""0.34896654836330965"", ""0.3125775082020924"", ""0.34793373978103725""]"
aaefe066,"[null, null, null, null, null]"
f9557351,"[null, null, null, null, null]"
c2831424,"[null, null, null, null, null]"
c5d7d02d,"[""0.9359801798405433"", ""0.9520907120428149"", ""0.9514246598356683"", ""0.9124410951119489"", ""0.9584839806211216""]"
40fea98d,"[""-1130.0"", ""-362.0"", ""-1103.0"", ""158.0"", ""-652.0""]"
30e90078,"[null, null, null, null, null]"
675b49c8,"[""2035.0"", ""66.0"", ""1300.0"", ""-11.0"", ""796.0""]"
87e58f7c,"[null, null, null, null, null]"
447fa16a,"[""-840.874770463832"", ""-204.8976202278236"", ""-809.0097516198465"", ""-839.8409150138125"", ""-762.0754096987667""]"
b8314e99,"[""18.52276112055707"", ""38.09947534278282"", ""29.77792056821583"", ""11.942886913343834"", ""70.34222310963665""]"
3d840b25,"[""-37.0"", ""-7.0"", ""-17.0"", ""-47.0"", ""-17.0""]"
68b8e8c0,"[""24.982604886607536"", ""58.30303545078622"", ""24.600835580999913"", ""17.264298695902365"", ""42.34718096743453""]"
dea5ed3e,"[""53.162447385524686"", ""86.70423642288239"", ""11.577950858609498"", ""47.223224664543416"", ""15.452681119493171""]"
c9f1c4c3,"[""41.0"", ""58.0"", ""17.0"", ""64.0"", ""20.0""]"
af5b83b4,"[null, null, null, null, null]"
af6dc24b,"[""65.43750530964348"", ""69.41684046354897"", ""29.386163892963403"", ""50.16496493570706"", ""18.87727315775569""]"
c7c3402c,"[null, null, null, null, null]"
e321584f,"[""-7.0"", ""37.0"", ""-17.0"", ""17.0"", ""44.0""]"
812ea8c2,"[""42.56604688821058"", ""38.03969914607814"", ""17.028430237923537"", ""9.16100716988971"", ""23.274129137303245""]"
7b701a07,"[""35362.0"", ""35089.0"", ""35089.0"", ""34997.0"", ""35449.0""]"
8af6ddc2,"[""668.3007242888468"", ""193.05045708036064"", ""325808.64636663377"", ""5471.572467718161"", ""14004.97231431131""]"
66ca0a95,"[null, null, null, null, null]"
0405d7a6,"[""1.141272097081232"", ""1.1704676903345128"", ""1.067776582672045"", ""1.109984325000558"", ""0.6804396888265675""]"
ad65f42b,"[null, null, null, null, null]"
e632d0ab,"[""0.9084434914042964"", ""0.5937038917403593"", ""0.7074583631850242"", ""0.9601070745492328"", ""0.969825402774332""]"
42c98e23,"[""11.958061728540837"", ""16.686877157281028"", ""3.5548182462643414"", ""16.87982787538992"", ""8.8120632466616""]"
e3352874,"[""10.0"", ""15.0"", ""12.0"", ""21.0"", ""4.0""]"
468d6050,"[null, null, null, null, null]"
289cac57,"[""13.0"", ""1966.0"", ""1077.0"", ""4668.0"", ""440.0""]"
8de86cea,"[null, null, null, null, null]"
ae3019ef,"[null, null, null, null, null]"
e121408d,"[null, null, null, null, null]"
eeb54fec,"[""0.9489331749840305"", ""1.1388521215264122"", ""1.2144919777333771"", ""1.4389435647609272"", ""1.2939223396373394""]"
4a3b8891,"[null, null, null, null, null]"
